species,region,gear,season,vessel_size,area,days,n_ind
G,North,Gillnets,spring,small,b,145.623973537105,0
H,North,Gillnets,spring,small,b,94.8329352534131,0
I,North,Gillnets,spring,small,b,143.981950347543,0
J,North,Gillnets,spring,small,b,100.484938050353,0
A,South,Gillnets,spring,small,b,155.772096436103,5
B,South,Gillnets,spring,small,b,216.830094162317,0
C,South,Gillnets,spring,small,b,162.982952370395,0
D,South,Gillnets,spring,small,b,91.5059114208553,34
E,South,Gillnets,spring,small,b,186.785602595752,0
F,South,Gillnets,spring,small,b,171.502758475007,0
G,South,Gillnets,spring,small,b,178.861979047112,0
H,South,Gillnets,spring,small,b,167.242349737852,0
I,South,Gillnets,spring,small,b,138.706459428562,0
J,South,Gillnets,spring,small,b,178.485698937512,0
A,North,Longlines,spring,small,b,96.085648481781,2
B,North,Longlines,spring,small,b,121.71733212425,0
C,North,Longlines,spring,small,b,190.199118910079,1
D,North,Longlines,spring,small,b,189.759695041508,0
E,North,Longlines,spring,small,b,100.177449727237,0
F,North,Longlines,spring,small,b,180.04289433352,1
G,North,Longlines,spring,small,b,144.19569746029,0
H,North,Longlines,spring,small,b,142.014774179225,1
I,North,Longlines,spring,small,b,180.087327367246,0
J,North,Longlines,spring,small,b,161.46211944192,0
A,South,Longlines,spring,small,b,155.780531124604,2
B,South,Longlines,spring,small,b,104.867076661836,0
C,South,Longlines,spring,small,b,189.651851841747,1
D,South,Longlines,spring,small,b,130.431973706588,0
E,South,Longlines,spring,small,b,126.572575305148,0
F,South,Longlines,spring,small,b,120.432489749686,0
G,South,Longlines,spring,small,b,108.109053182644,0
H,South,Longlines,spring,small,b,182.998174602945,0
I,South,Longlines,spring,small,b,243.158504667564,0
J,South,Longlines,spring,small,b,124.997137445022,0
A,North,Trawlers,spring,small,b,337.236325410255,0
B,North,Trawlers,spring,small,b,613.895837582481,0
C,North,Trawlers,spring,small,b,281.174332892107,3
D,North,Trawlers,spring,small,b,445.057791398622,762
E,North,Trawlers,spring,small,b,434.058079270457,34
F,North,Trawlers,spring,small,b,424.605665246109,0
G,North,Trawlers,spring,small,b,401.608795106576,0
H,North,Trawlers,spring,small,b,470.343737200727,28
I,North,Trawlers,spring,small,b,270.837574840648,0
J,North,Trawlers,spring,small,b,437.705281689183,0
A,South,Trawlers,spring,small,b,337.282624641421,0
B,South,Trawlers,spring,small,b,341.859441824227,0
C,South,Trawlers,spring,small,b,237.917392303892,1
D,South,Trawlers,spring,small,b,462.321682260916,1149
E,South,Trawlers,spring,small,b,311.468480524797,13
F,South,Trawlers,spring,small,b,356.162907200232,0
G,South,Trawlers,spring,small,b,343.243635834049,0
H,South,Trawlers,spring,small,b,296.564161368623,4
I,South,Trawlers,spring,small,b,239.175361887229,0
J,South,Trawlers,spring,small,b,516.070438099053,0
A,North,Gillnets,summer,small,b,163.615530401296,1
B,North,Gillnets,summer,small,b,152.328267414418,0
C,North,Gillnets,summer,small,b,57.194638356307,0
D,North,Gillnets,summer,small,b,175.054374579512,43
E,North,Gillnets,summer,small,b,160.739747909752,0
F,North,Gillnets,summer,small,b,133.677483574914,0
G,North,Gillnets,summer,small,b,168.70799925972,0
H,North,Gillnets,summer,small,b,166.443938560999,0
I,North,Gillnets,summer,small,b,163.3810618849,0
J,North,Gillnets,summer,small,b,128.233248000438,0
A,South,Gillnets,summer,small,b,120.169860266398,0
B,South,Gillnets,summer,small,b,96.0846471678856,0
C,South,Gillnets,summer,small,b,100.580599592778,1
D,South,Gillnets,summer,small,b,124.987888814275,17
E,South,Gillnets,summer,small,b,187.51993469981,0
F,South,Gillnets,summer,small,b,165.503610564974,2
G,South,Gillnets,summer,small,b,90.6683848847243,0
H,South,Gillnets,summer,small,b,153.139667891613,1
I,South,Gillnets,summer,small,b,111.098909781759,0
J,South,Gillnets,summer,small,b,116.318445007564,0
A,North,Longlines,summer,small,b,85.5344993333328,2
B,North,Longlines,summer,small,b,121.166003920987,0
C,North,Longlines,summer,small,b,196.301948003897,0
D,North,Longlines,summer,small,b,210.552564103463,0
E,North,Longlines,summer,small,b,183.865203615668,0
F,North,Longlines,summer,small,b,136.653252007764,85
G,North,Longlines,summer,small,b,195.023746345021,0
H,North,Longlines,summer,small,b,90.7781327978043,0
I,North,Longlines,summer,small,b,112.993336578911,0
J,North,Longlines,summer,small,b,145.244182197131,0
A,South,Longlines,summer,small,b,206.092421507872,0
B,South,Longlines,summer,small,b,138.800425789567,0
C,South,Longlines,summer,small,b,161.594069499003,1
D,South,Longlines,summer,small,b,158.718581761606,0
E,South,Longlines,summer,small,b,128.027346417425,0
F,South,Longlines,summer,small,b,108.009438171393,0
G,South,Longlines,summer,small,b,189.823027875804,0
H,South,Longlines,summer,small,b,270.633548164319,0
I,South,Longlines,summer,small,b,203.804523049725,0
J,South,Longlines,summer,small,b,180.668550072045,0
A,North,Trawlers,summer,small,b,365.655034125109,0
B,North,Trawlers,summer,small,b,520.806847346792,0
C,North,Trawlers,summer,small,b,375.383888368348,18
D,North,Trawlers,summer,small,b,421.099897576246,156
E,North,Trawlers,summer,small,b,342.374809182574,18
F,North,Trawlers,summer,small,b,515.776990464959,0
G,North,Trawlers,summer,small,b,317.411801549953,0
H,North,Trawlers,summer,small,b,204.954555524177,15
I,North,Trawlers,summer,small,b,305.250720712783,0
J,North,Trawlers,summer,small,b,215.509516291218,0
A,South,Trawlers,summer,small,b,404.237550940594,0
B,South,Trawlers,summer,small,b,277.999131535777,1
C,South,Trawlers,summer,small,b,450.525784082346,9
D,South,Trawlers,summer,small,b,279.386784056438,13
E,South,Trawlers,summer,small,b,232.383274496513,2
F,South,Trawlers,summer,small,b,410.201682971986,0
G,South,Trawlers,summer,small,b,477.692823737209,0
H,South,Trawlers,summer,small,b,337.692976220881,1
I,South,Trawlers,summer,small,b,401.43728559592,0
J,South,Trawlers,summer,small,b,511.576209841601,0
A,North,Gillnets,fall,small,b,0,0
B,North,Gillnets,fall,small,b,0,0
C,North,Gillnets,fall,small,b,0,0
D,North,Gillnets,fall,small,b,0,0
E,North,Gillnets,fall,small,b,0,0
F,North,Gillnets,fall,small,b,0,0
G,North,Gillnets,fall,small,b,0,0
H,North,Gillnets,fall,small,b,0,0
I,North,Gillnets,fall,small,b,0,0
J,North,Gillnets,fall,small,b,0,0
A,South,Gillnets,fall,small,b,0,0
B,South,Gillnets,fall,small,b,0,0
C,South,Gillnets,fall,small,b,0,0
D,South,Gillnets,fall,small,b,0,0
E,South,Gillnets,fall,small,b,0,0
F,South,Gillnets,fall,small,b,0,0
G,South,Gillnets,fall,small,b,0,0
H,South,Gillnets,fall,small,b,0,0
I,South,Gillnets,fall,small,b,0,0
J,South,Gillnets,fall,small,b,0,0
A,North,Longlines,fall,small,b,153.798546135536,3
B,North,Longlines,fall,small,b,159.262905807546,0
C,North,Longlines,fall,small,b,195.321408498989,3
D,North,Longlines,fall,small,b,191.006945089376,1
E,North,Longlines,fall,small,b,128.232601565574,0
F,North,Longlines,fall,small,b,227.779133901612,4
G,North,Longlines,fall,small,b,208.692387899555,0
H,North,Longlines,fall,small,b,141.27762470849,2
I,North,Longlines,fall,small,b,138.367136722043,0
J,North,Longlines,fall,small,b,189.111716789788,0
A,South,Longlines,fall,small,b,189.065272343781,5
B,South,Longlines,fall,small,b,188.307414271444,0
C,South,Longlines,fall,small,b,186.949041179453,18
D,South,Longlines,fall,small,b,84.3918803153724,0
E,South,Longlines,fall,small,b,151.994025933575,0
F,South,Longlines,fall,small,b,96.5092021059774,0
G,South,Longlines,fall,small,b,141.255175140608,0
H,South,Longlines,fall,small,b,168.684764801142,0
I,South,Longlines,fall,small,b,196.319095722452,0
J,South,Longlines,fall,small,b,121.22000891368,0
A,North,Trawlers,fall,small,b,204.129445310697,0
B,North,Trawlers,fall,small,b,217.485218755399,0
C,North,Trawlers,fall,small,b,387.049844411229,0
D,North,Trawlers,fall,small,b,470.50127183543,233
E,North,Trawlers,fall,small,b,303.651763322472,12
F,North,Trawlers,fall,small,b,268.565757718788,0
G,North,Trawlers,fall,small,b,329.629369651377,0
H,North,Trawlers,fall,small,b,395.111287374206,33
I,North,Trawlers,fall,small,b,495.980558091202,0
J,North,Trawlers,fall,small,b,316.856401857059,0
A,South,Trawlers,fall,small,b,468.588469926886,0
B,South,Trawlers,fall,small,b,319.515742523751,1
C,South,Trawlers,fall,small,b,355.040156439569,2
D,South,Trawlers,fall,small,b,347.538428555538,2175
E,South,Trawlers,fall,small,b,425.142555046745,0
F,South,Trawlers,fall,small,b,479.143890807424,0
G,South,Trawlers,fall,small,b,359.633473148471,0
H,South,Trawlers,fall,small,b,514.844145972651,18
I,South,Trawlers,fall,small,b,175.272556244763,0
J,South,Trawlers,fall,small,b,625.257860774982,0
A,North,Gillnets,winter,large,b,62.8096444651107,584
B,North,Gillnets,winter,large,b,35.332448700129,1
C,North,Gillnets,winter,large,b,74.8713845215958,2
D,North,Gillnets,winter,large,b,70.935664284908,0
E,North,Gillnets,winter,large,b,80.5157067773216,6
F,North,Gillnets,winter,large,b,87.3585034118876,0
G,North,Gillnets,winter,large,b,85.8592243644209,0
H,North,Gillnets,winter,large,b,62.9687919384611,0
I,North,Gillnets,winter,large,b,74.3381762705529,0
J,North,Gillnets,winter,large,b,64.9042782679523,0
A,South,Gillnets,winter,large,b,73.3318771061808,10
B,South,Gillnets,winter,large,b,98.2505887621611,5
C,South,Gillnets,winter,large,b,102.623068445679,0
D,South,Gillnets,winter,large,b,103.464902509519,11
E,South,Gillnets,winter,large,b,98.4702575469159,1
F,South,Gillnets,winter,large,b,92.0442380390048,1
G,South,Gillnets,winter,large,b,59.3598856916782,0
H,South,Gillnets,winter,large,b,43.5860412759398,0
I,South,Gillnets,winter,large,b,50.9103881519149,0
J,South,Gillnets,winter,large,b,57.7237418579196,0
A,North,Longlines,winter,large,b,59.5672860229029,44
B,North,Longlines,winter,large,b,41.4032016234908,15
C,North,Longlines,winter,large,b,48.9515291762033,19
D,North,Longlines,winter,large,b,52.8854456022135,1
E,North,Longlines,winter,large,b,48.802363062524,0
F,North,Longlines,winter,large,b,62.5537848246265,0
G,North,Longlines,winter,large,b,35.5500695708228,0
H,North,Longlines,winter,large,b,50.0387918195583,0
I,North,Longlines,winter,large,b,64.9950008788361,0
J,North,Longlines,winter,large,b,78.6133750249782,0
A,South,Longlines,winter,large,b,57.349820489528,4
B,South,Longlines,winter,large,b,91.6873471502463,2
C,South,Longlines,winter,large,b,62.9442004262293,4
D,South,Longlines,winter,large,b,78.4091150571259,0
E,South,Longlines,winter,large,b,75.3570521857349,0
F,South,Longlines,winter,large,b,44.8149905534467,0
G,South,Longlines,winter,large,b,66.0381649630855,0
H,South,Longlines,winter,large,b,37.3702041423667,0
I,South,Longlines,winter,large,b,95.0357340948831,0
J,South,Longlines,winter,large,b,70.5272069678737,0
A,North,Trawlers,winter,large,b,190.939033672387,2
B,North,Trawlers,winter,large,b,112.617177839511,16
C,North,Trawlers,winter,large,b,135.616706356181,0
D,North,Trawlers,winter,large,b,172.143496534162,540
E,North,Trawlers,winter,large,b,197.548164967288,8
F,North,Trawlers,winter,large,b,223.068808470945,0
G,North,Trawlers,winter,large,b,109.654094783023,0
H,North,Trawlers,winter,large,b,155.23802130401,0
I,North,Trawlers,winter,large,b,135.008789927387,0
J,North,Trawlers,winter,large,b,107.106183057574,0
A,South,Trawlers,winter,large,b,127.169514772898,4
B,South,Trawlers,winter,large,b,105.112425071595,16
C,South,Trawlers,winter,large,b,242.71579998912,30
D,South,Trawlers,winter,large,b,94.5976316370028,1229
E,South,Trawlers,winter,large,b,73.4227197417814,2
F,South,Trawlers,winter,large,b,159.577720089115,0
G,South,Trawlers,winter,large,b,161.161308068969,0
H,South,Trawlers,winter,large,b,318.284387676477,3
I,South,Trawlers,winter,large,b,225.473179278952,0
J,South,Trawlers,winter,large,b,112.345508893756,0
A,North,Gillnets,spring,large,b,163.134041051148,107
B,North,Gillnets,spring,large,b,104.129406196317,0
C,North,Gillnets,spring,large,b,117.158606338171,0
D,North,Gillnets,spring,large,b,191.25007911069,0
E,North,Gillnets,spring,large,b,145.177023165185,5
F,North,Gillnets,spring,large,b,181.350281832977,0
G,North,Gillnets,spring,large,b,176.414946221611,0
H,North,Gillnets,spring,large,b,148.124201630447,0
I,North,Gillnets,spring,large,b,189.662139083593,0
J,North,Gillnets,spring,large,b,222.97152008245,0
A,South,Gillnets,spring,large,b,130.768745701801,2
B,South,Gillnets,spring,large,b,218.924181025725,0
C,South,Gillnets,spring,large,b,154.118926531851,0
D,South,Gillnets,spring,large,b,145.069266012753,1
E,South,Gillnets,spring,large,b,138.293277212908,0
F,South,Gillnets,spring,large,b,91.4674403170352,0
G,South,Gillnets,spring,large,b,136.444336431451,0
H,South,Gillnets,spring,large,b,161.558654199788,0
I,South,Gillnets,spring,large,b,157.582933882736,0
J,South,Gillnets,spring,large,b,211.397672976474,0
A,North,Longlines,spring,large,b,104.394832771609,16
B,North,Longlines,spring,large,b,162.97408574876,0
C,North,Longlines,spring,large,b,117.276168715865,1
D,North,Longlines,spring,large,b,131.229791607461,0
E,North,Longlines,spring,large,b,73.823415320711,0
F,North,Longlines,spring,large,b,160.864262718497,2
G,North,Longlines,spring,large,b,155.140889047584,0
H,North,Longlines,spring,large,b,193.056990016783,1
I,North,Longlines,spring,large,b,127.491036804175,0
J,North,Longlines,spring,large,b,160.078868675626,0
A,South,Longlines,spring,large,b,150.839499793944,3
B,South,Longlines,spring,large,b,159.101699201859,0
C,South,Longlines,spring,large,b,96.8084044999044,0
D,South,Longlines,spring,large,b,162.565115755251,0
E,South,Longlines,spring,large,b,150.209849424036,0
F,South,Longlines,spring,large,b,120.397743445193,0
G,South,Longlines,spring,large,b,157.037223921705,0
H,South,Longlines,spring,large,b,149.386069431312,0
I,South,Longlines,spring,large,b,142.636891986799,0
J,South,Longlines,spring,large,b,61.8864565814138,0
A,North,Trawlers,spring,large,b,322.753508701614,0
B,North,Trawlers,spring,large,b,106.731776551631,1
C,North,Trawlers,spring,large,b,462.182644440534,2
D,North,Trawlers,spring,large,b,464.596028585958,153
E,North,Trawlers,spring,large,b,385.66455938161,5
F,North,Trawlers,spring,large,b,250.462366287635,0
G,North,Trawlers,spring,large,b,319.128307174689,1
H,North,Trawlers,spring,large,b,574.639442960954,25
I,North,Trawlers,spring,large,b,426.972659053138,0
J,North,Trawlers,spring,large,b,344.387653364786,0
A,South,Trawlers,spring,large,b,302.607525095053,0
B,South,Trawlers,spring,large,b,227.992317700265,1
C,South,Trawlers,spring,large,b,313.362817060897,0
D,South,Trawlers,spring,large,b,258.55740949695,179
E,South,Trawlers,spring,large,b,491.149382449311,2
F,South,Trawlers,spring,large,b,397.834460114238,0
G,South,Trawlers,spring,large,b,433.683927896361,0
H,South,Trawlers,spring,large,b,205.98959464894,0
I,South,Trawlers,spring,large,b,477.735110444803,0
J,South,Trawlers,spring,large,b,225.516024057814,0
A,North,Gillnets,summer,large,b,113.357704079332,7
B,North,Gillnets,summer,large,b,239.379015775452,0
C,North,Gillnets,summer,large,b,173.614416378119,0
D,North,Gillnets,summer,large,b,174.110127447026,149
E,North,Gillnets,summer,large,b,81.9837278395311,15
F,North,Gillnets,summer,large,b,200.834331250949,1
G,North,Gillnets,summer,large,b,99.5625612729437,0
H,North,Gillnets,summer,large,b,122.16498776231,0
I,North,Gillnets,summer,large,b,120.955613536022,0
J,North,Gillnets,summer,large,b,205.640599711307,0
A,South,Gillnets,summer,large,b,138.338919954862,62
B,South,Gillnets,summer,large,b,190.804296930204,0
C,South,Gillnets,summer,large,b,201.770294628764,1
D,South,Gillnets,summer,large,b,113.168568133821,93
E,South,Gillnets,summer,large,b,132.890031513305,0
F,South,Gillnets,summer,large,b,178.339676104736,0
G,South,Gillnets,summer,large,b,146.838629624631,0
H,South,Gillnets,summer,large,b,140.144498622544,0
I,South,Gillnets,summer,large,b,135.654012264873,1
J,South,Gillnets,summer,large,b,101.19725165492,0
A,North,Longlines,summer,large,b,179.108756007488,2
B,North,Longlines,summer,large,b,191.085946207288,1
C,North,Longlines,summer,large,b,110.537801114709,6
D,North,Longlines,summer,large,b,150.388890434517,0
E,North,Longlines,summer,large,b,179.055010377583,0
F,North,Longlines,summer,large,b,157.965555349211,2
G,North,Longlines,summer,large,b,165.103355248514,0
H,North,Longlines,summer,large,b,195.532941993492,2
I,North,Longlines,summer,large,b,152.144199151727,0
J,North,Longlines,summer,large,b,149.169821204938,0
A,South,Longlines,summer,large,b,137.990552127659,5
B,South,Longlines,summer,large,b,121.109182918655,0
C,South,Longlines,summer,large,b,167.716913961896,12
D,South,Longlines,summer,large,b,57.8506442284986,0
E,South,Longlines,summer,large,b,148.211645052808,0
F,South,Longlines,summer,large,b,126.835938357015,0
G,South,Longlines,summer,large,b,126.350100521153,0
H,South,Longlines,summer,large,b,172.357635819179,0
I,South,Longlines,summer,large,b,166.91666622432,0
J,South,Longlines,summer,large,b,127.59321755089,0
A,North,Trawlers,summer,large,b,326.665742231949,0
B,North,Trawlers,summer,large,b,414.598262539323,0
C,North,Trawlers,summer,large,b,173.6450886669,17
D,North,Trawlers,summer,large,b,330.327286324748,42
E,North,Trawlers,summer,large,b,376.99763959405,28
F,North,Trawlers,summer,large,b,532.193155074546,0
G,North,Trawlers,summer,large,b,293.711831715223,0
H,North,Trawlers,summer,large,b,420.747954582887,8
I,North,Trawlers,summer,large,b,472.411420931775,0
J,North,Trawlers,summer,large,b,371.260619680461,0
A,South,Trawlers,summer,large,b,382.201330192276,0
B,South,Trawlers,summer,large,b,258.18061431503,2
C,South,Trawlers,summer,large,b,367.186843945164,7
D,South,Trawlers,summer,large,b,491.735945838339,17
E,South,Trawlers,summer,large,b,535.109016388093,0
F,South,Trawlers,summer,large,b,336.809465076005,0
G,South,Trawlers,summer,large,b,258.953812753865,0
H,South,Trawlers,summer,large,b,472.919481502671,0
I,South,Trawlers,summer,large,b,455.593688370935,0
J,South,Trawlers,summer,large,b,262.336753447145,0
A,North,Gillnets,fall,large,b,0,0
B,North,Gillnets,fall,large,b,0,0
C,North,Gillnets,fall,large,b,0,0
D,North,Gillnets,fall,large,b,0,0
E,North,Gillnets,fall,large,b,0,0
F,North,Gillnets,fall,large,b,0,0
G,North,Gillnets,fall,large,b,0,0
H,North,Gillnets,fall,large,b,0,0
I,North,Gillnets,fall,large,b,0,0
J,North,Gillnets,fall,large,b,0,0
A,South,Gillnets,fall,large,b,0,0
B,South,Gillnets,fall,large,b,0,0
C,South,Gillnets,fall,large,b,0,0
D,South,Gillnets,fall,large,b,0,0
E,South,Gillnets,fall,large,b,0,0
F,South,Gillnets,fall,large,b,0,0
G,South,Gillnets,fall,large,b,0,0
H,South,Gillnets,fall,large,b,0,0
I,South,Gillnets,fall,large,b,0,0
J,South,Gillnets,fall,large,b,0,0
A,North,Longlines,fall,large,b,199.320713167312,16
B,North,Longlines,fall,large,b,147.63938489926,0
C,North,Longlines,fall,large,b,192.149363343431,6
D,North,Longlines,fall,large,b,104.232387378807,0
E,North,Longlines,fall,large,b,182.58795144757,0
F,North,Longlines,fall,large,b,135.039423185324,0
G,North,Longlines,fall,large,b,151.024118800878,0
H,North,Longlines,fall,large,b,177.88246007933,0
I,North,Longlines,fall,large,b,157.454725402,0
J,North,Longlines,fall,large,b,120.838416400034,0
A,South,Longlines,fall,large,b,120.365588849241,0
B,South,Longlines,fall,large,b,109.806507947282,4
C,South,Longlines,fall,large,b,79.4914486830515,3
D,South,Longlines,fall,large,b,118.725413785616,0
E,South,Longlines,fall,large,b,127.348579890048,0
F,South,Longlines,fall,large,b,182.69763385485,0
G,South,Longlines,fall,large,b,101.580587531098,0
H,South,Longlines,fall,large,b,171.841659791061,0
I,South,Longlines,fall,large,b,214.267794302284,0
J,South,Longlines,fall,large,b,245.515670384958,0
A,North,Trawlers,fall,large,b,277.714373622671,0
B,North,Trawlers,fall,large,b,274.30036207937,0
C,North,Trawlers,fall,large,b,319.652728928224,16
D,North,Trawlers,fall,large,b,401.102357786896,1504
E,North,Trawlers,fall,large,b,504.255875069991,29
F,North,Trawlers,fall,large,b,418.041601125546,0
G,North,Trawlers,fall,large,b,445.694041878808,0
H,North,Trawlers,fall,large,b,543.157801538282,5
I,North,Trawlers,fall,large,b,412.112631849663,0
J,North,Trawlers,fall,large,b,312.005168743981,0
A,South,Trawlers,fall,large,b,393.561895609952,2
B,South,Trawlers,fall,large,b,361.152123777692,35
C,South,Trawlers,fall,large,b,265.09452655352,1
D,South,Trawlers,fall,large,b,176.189415775207,382
E,South,Trawlers,fall,large,b,259.580365031581,0
F,South,Trawlers,fall,large,b,386.661647705906,0
G,South,Trawlers,fall,large,b,352.279138778413,0
H,South,Trawlers,fall,large,b,416.76797653411,7
I,South,Trawlers,fall,large,b,409.589282780023,0
J,South,Trawlers,fall,large,b,464.644807578409,0
A,North,Gillnets,winter,small,c,82.8455535137076,302
B,North,Gillnets,winter,small,c,72.5517789504205,0
C,North,Gillnets,winter,small,c,57.52552551026,0
D,North,Gillnets,winter,small,c,96.649826719584,10
E,North,Gillnets,winter,small,c,75.6888407576105,119
F,North,Gillnets,winter,small,c,75.1341431484466,0
G,North,Gillnets,winter,small,c,76.9831765695604,0
H,North,Gillnets,winter,small,c,70.2768132342162,1
I,North,Gillnets,winter,small,c,84.703394476156,0
J,North,Gillnets,winter,small,c,62.6043720704654,0
A,South,Gillnets,winter,small,c,90.5681530991961,22
B,South,Gillnets,winter,small,c,60.932416908696,7
C,South,Gillnets,winter,small,c,60.1664617035705,0
D,South,Gillnets,winter,small,c,53.1474902821661,0
E,South,Gillnets,winter,small,c,59.0954314600829,5
F,South,Gillnets,winter,small,c,58.012829259927,0
G,South,Gillnets,winter,small,c,59.8321224231435,0
H,South,Gillnets,winter,small,c,88.4116644994422,0
I,South,Gillnets,winter,small,c,56.5627826292139,0
J,South,Gillnets,winter,small,c,84.9887089139533,0
A,North,Longlines,winter,small,c,85.7560429123464,53
B,North,Longlines,winter,small,c,63.5070748652029,2
C,North,Longlines,winter,small,c,111.231074770154,17
D,North,Longlines,winter,small,c,52.2832219321595,0
E,North,Longlines,winter,small,c,39.058782930671,0
F,North,Longlines,winter,small,c,90.5654836154423,0
G,North,Longlines,winter,small,c,109.072900476022,0
H,North,Longlines,winter,small,c,34.4856194085597,1
I,North,Longlines,winter,small,c,88.2241967993034,0
J,North,Longlines,winter,small,c,107.120059930973,0
A,South,Longlines,winter,small,c,84.3748350414109,13
B,South,Longlines,winter,small,c,75.5500260772791,3
C,South,Longlines,winter,small,c,47.4509880177664,15
D,South,Longlines,winter,small,c,60.4821160236903,0
E,South,Longlines,winter,small,c,25.3278380047204,0
F,South,Longlines,winter,small,c,82.8625147246268,0
G,South,Longlines,winter,small,c,91.1341184124573,0
H,South,Longlines,winter,small,c,80.801769983174,0
I,South,Longlines,winter,small,c,73.663535907166,0
J,South,Longlines,winter,small,c,69.7745262698358,0
A,North,Trawlers,winter,small,c,238.261363126736,0
B,North,Trawlers,winter,small,c,213.682122094107,0
C,North,Trawlers,winter,small,c,200.447762671955,5
D,North,Trawlers,winter,small,c,245.585350508279,486
E,North,Trawlers,winter,small,c,143.063027987674,78
F,North,Trawlers,winter,small,c,180.759285453272,0
G,North,Trawlers,winter,small,c,183.184932112185,0
H,North,Trawlers,winter,small,c,161.774436742133,0
I,North,Trawlers,winter,small,c,98.5778583461316,0
J,North,Trawlers,winter,small,c,208.823913759999,0
A,South,Trawlers,winter,small,c,210.356167601841,0
B,South,Trawlers,winter,small,c,126.698383840057,7
C,South,Trawlers,winter,small,c,200.715485324806,9
D,South,Trawlers,winter,small,c,190.77414801489,58
E,South,Trawlers,winter,small,c,167.092525981488,0
F,South,Trawlers,winter,small,c,219.278425272026,0
G,South,Trawlers,winter,small,c,202.228740019089,0
H,South,Trawlers,winter,small,c,294.147120538641,0
I,South,Trawlers,winter,small,c,174.960686430235,0
J,South,Trawlers,winter,small,c,117.285716404104,0
A,North,Gillnets,spring,small,c,196.184446242667,2
B,North,Gillnets,spring,small,c,85.9576289491598,0
C,North,Gillnets,spring,small,c,99.5795051790683,0
D,North,Gillnets,spring,small,c,144.04748302628,7
E,North,Gillnets,spring,small,c,184.067100343859,1
F,North,Gillnets,spring,small,c,185.022066207092,0
G,North,Gillnets,spring,small,c,170.269554486049,0
H,North,Gillnets,spring,small,c,114.632338845818,2
I,North,Gillnets,spring,small,c,163.15290632688,0
J,North,Gillnets,spring,small,c,132.258412870865,0
A,South,Gillnets,spring,small,c,121.544364460279,3
B,South,Gillnets,spring,small,c,65.1168042361042,0
C,South,Gillnets,spring,small,c,189.307538503254,1
D,South,Gillnets,spring,small,c,130.275464889007,0
E,South,Gillnets,spring,small,c,55.4904740832999,1
F,South,Gillnets,spring,small,c,173.49010621933,0
G,South,Gillnets,spring,small,c,109.839066543921,0
H,South,Gillnets,spring,small,c,84.0437795717153,0
I,South,Gillnets,spring,small,c,215.060916394379,0
J,South,Gillnets,spring,small,c,119.388598612566,0
A,North,Longlines,spring,small,c,131.362908306901,18
B,North,Longlines,spring,small,c,145.29833089537,0
C,North,Longlines,spring,small,c,165.161885789412,13
D,North,Longlines,spring,small,c,174.849918614626,0
E,North,Longlines,spring,small,c,227.978452847063,0
F,North,Longlines,spring,small,c,85.0254788079877,5
G,North,Longlines,spring,small,c,175.405050807694,0
H,North,Longlines,spring,small,c,129.115915971526,0
I,North,Longlines,spring,small,c,172.410048025247,0
J,North,Longlines,spring,small,c,142.970138449582,0
A,South,Longlines,spring,small,c,177.580852439076,1
B,South,Longlines,spring,small,c,197.565339698439,0
C,South,Longlines,spring,small,c,145.169862172649,5
D,South,Longlines,spring,small,c,122.532647129863,0
E,South,Longlines,spring,small,c,185.904828805971,0
F,South,Longlines,spring,small,c,240.211308052147,0
G,South,Longlines,spring,small,c,130.941908898181,0
H,South,Longlines,spring,small,c,139.646384606943,0
I,South,Longlines,spring,small,c,149.219801681173,0
J,South,Longlines,spring,small,c,141.934109710145,0
A,North,Trawlers,spring,small,c,493.159914266,0
B,North,Trawlers,spring,small,c,319.291298774875,1
C,North,Trawlers,spring,small,c,399.705751327578,22
D,North,Trawlers,spring,small,c,421.710274661392,106
E,North,Trawlers,spring,small,c,258.003553856035,163
F,North,Trawlers,spring,small,c,360.708302181992,0
G,North,Trawlers,spring,small,c,161.238465874957,0
H,North,Trawlers,spring,small,c,163.070655524066,2
I,North,Trawlers,spring,small,c,527.928966742253,0
J,North,Trawlers,spring,small,c,273.318068320925,0
A,South,Trawlers,spring,small,c,308.019744920156,0
B,South,Trawlers,spring,small,c,353.286010721156,0
C,South,Trawlers,spring,small,c,469.024805946971,0
D,South,Trawlers,spring,small,c,345.491085072907,19
E,South,Trawlers,spring,small,c,492.430840697499,6
F,South,Trawlers,spring,small,c,306.079219863168,0
G,South,Trawlers,spring,small,c,370.55661510477,0
H,South,Trawlers,spring,small,c,427.426316948789,1
I,South,Trawlers,spring,small,c,313.100476782026,0
J,South,Trawlers,spring,small,c,378.370816103764,0
A,North,Gillnets,summer,small,c,174.757500391687,2
B,North,Gillnets,summer,small,c,287.788312472543,0
C,North,Gillnets,summer,small,c,193.012867745384,1
D,North,Gillnets,summer,small,c,61.4198636583184,3
E,North,Gillnets,summer,small,c,99.667090835667,6
F,North,Gillnets,summer,small,c,124.10566226914,4
G,North,Gillnets,summer,small,c,142.10850230747,0
H,North,Gillnets,summer,small,c,76.8683645556474,0
I,North,Gillnets,summer,small,c,186.977406122067,0
J,North,Gillnets,summer,small,c,105.944982729773,0
A,South,Gillnets,summer,small,c,193.898247442988,7
B,South,Gillnets,summer,small,c,162.556014633135,0
C,South,Gillnets,summer,small,c,204.621405442123,0
D,South,Gillnets,summer,small,c,128.116453700307,31
